X,Y,Index_,event_unique_id,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,reportedyear,reportedmonth,reportedday,reporteddayofyear,reporteddayofweek,reportedhour,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,Neighbourhood,Lat,Long,FID
-79.3801956,43.639965100000012,70121,GO-20161343621,2016-07-21T04:00:00.000Z,2016-07-31T04:00:00.000Z,Apartment,2130,210,Theft Over,2016,July,31,213,Sunday    ,6,2016,July,21,203,Thursday  ,18,Theft Over,D52,77,Waterfront Communities-The Island (77),43.6399651,-79.3801956,2359
-79.395072899999988,43.6710052,70274,GO-20161313124,2016-07-24T04:00:00.000Z,2016-07-26T04:00:00.000Z,Outside,2132,200,Theft From Motor Vehicle Over,2016,July,26,208,Tuesday   ,14,2016,July,24,206,Sunday    ,18,Theft Over,D53,95,Annex (95),43.6710052,-79.3950729,2360
-79.4815903,43.7244453,70281,GO-20161293612,2016-07-23T04:00:00.000Z,2016-07-23T04:00:00.000Z,Commercial,2130,210,Theft Over,2016,July,23,205,Saturday  ,13,2016,July,23,205,Saturday  ,12,Theft Over,D31,26,Downsview-Roding-CFB (26),43.7244453,-79.4815903,2361
-79.246772800000016,43.764808699999989,70323,GO-2017166700,2016-01-01T05:00:00.000Z,2017-01-27T05:00:00.000Z,House,2130,210,Theft Over,2017,January,27,27,Friday    ,8,2016,January,1,1,Friday    ,0,Theft Over,D43,137,Woburn (137),43.7648087,-79.2467728,2362
-79.3506165,43.6430931,70324,GO-2017808930,2016-01-01T05:00:00.000Z,2017-05-08T04:00:00.000Z,Commercial,2130,210,Theft Over,2017,May,8,128,Monday    ,11,2016,January,1,1,Friday    ,0,Theft Over,D51,70,South Riverdale (70),43.6430931,-79.3506165,2363
-79.351249700000011,43.770717599999983,70326,GO-20171116366,2016-01-01T05:00:00.000Z,2017-06-22T04:00:00.000Z,Apartment,2130,210,Theft Over,2017,June,22,173,Thursday  ,16,2016,January,1,1,Friday    ,12,Theft Over,D33,53,Henry Farm (53),43.7707176,-79.3512497,2364
-79.531013499999986,43.6147308,70332,GO-2017390982,2016-11-27T05:00:00.000Z,2017-03-03T05:00:00.000Z,Commercial,2130,210,Theft Over,2017,March,3,62,Friday    ,14,2016,November,27,332,Sunday    ,0,Theft Over,D22,20,Alderwood (20),43.6147308,-79.5310135,2365
-79.43849950000002,43.7046242,70451,GO-20162113645,2016-11-27T05:00:00.000Z,2016-11-28T05:00:00.000Z,Outside,2132,200,Theft From Motor Vehicle Over,2016,November,28,333,Monday    ,18,2016,November,27,332,Sunday    ,16,Theft Over,D13,102,Forest Hill North (102),43.7046242,-79.4384995,2366
-79.2692947,43.7873917,70478,GO-20161187633,2016-07-07T04:00:00.000Z,2016-07-07T04:00:00.000Z,Commercial,2132,200,Theft From Motor Vehicle Over,2016,July,7,189,Thursday  ,16,2016,July,7,189,Thursday  ,10,Theft Over,D42,128,Agincourt South-Malvern West (128),43.7873917,-79.2692947,2367
-79.2862015,43.6934738,70541,GO-20161308579,2016-07-25T04:00:00.000Z,2016-07-25T04:00:00.000Z,House,2130,210,Theft Over,2016,July,25,207,Monday    ,20,2016,July,25,207,Monday    ,10,Theft Over,D41,121,Oakridge (121),43.6934738,-79.2862015,2368
-79.2836304,43.7182388,70648,GO-20162004346,2016-07-07T04:00:00.000Z,2016-11-11T05:00:00.000Z,House,2130,200,Theft From Mail / Bag / Key,2016,November,11,316,Friday    ,7,2016,July,7,189,Thursday  ,0,Theft Over,D41,120,Clairlea-Birchmount (120),43.7182388,-79.2836304,2369
-79.4812088,43.622970599999988,70649,GO-20161221987,2016-07-07T04:00:00.000Z,2016-07-12T04:00:00.000Z,Apartment,2130,210,Theft Over,2016,July,12,194,Tuesday   ,15,2016,July,7,189,Thursday  ,2,Theft Over,D22,17,Mimico (includes Humber Bay Shores) (17),43.6229706,-79.4812088,2370
-79.2836304,43.7182388,70659,GO-20162004405,2016-07-14T04:00:00.000Z,2016-11-11T05:00:00.000Z,Apartment,2130,200,Theft From Mail / Bag / Key,2016,November,11,316,Friday    ,7,2016,July,14,196,Thursday  ,0,Theft Over,D41,120,Clairlea-Birchmount (120),43.7182388,-79.2836304,2371
-79.385192900000021,43.6592293,70711,GO-20161243252,2016-07-14T04:00:00.000Z,2016-07-15T04:00:00.000Z,Outside,2130,215,Theft Over - Bicycle,2016,July,15,197,Friday    ,17,2016,July,14,196,Thursday  ,12,Theft Over,D52,76,Bay Street Corridor (76),43.6592293,-79.3851929,2372
-79.3860626,43.6552429,70731,GO-2017169755,2016-12-12T05:00:00.000Z,2017-01-27T05:00:00.000Z,Commercial,2130,210,Theft Over,2017,January,27,27,Friday    ,16,2016,December,12,347,Monday    ,6,Theft Over,D52,76,Bay Street Corridor (76),43.6552429,-79.3860626,2373
-79.1764221,43.7559891,70762,GO-20162212364,2016-12-13T05:00:00.000Z,2016-12-14T05:00:00.000Z,House,2132,200,Theft From Motor Vehicle Over,2016,December,14,349,Wednesday ,8,2016,December,13,348,Tuesday   ,18,Theft Over,D43,140,Guildwood (140),43.7559891,-79.1764221,2374
-79.3767166,43.6624222,70765,GO-20162222775,2016-12-13T05:00:00.000Z,2016-12-15T05:00:00.000Z,Apartment,2130,210,Theft Over,2016,December,15,350,Thursday  ,18,2016,December,13,348,Tuesday   ,18,Theft Over,D51,71,Cabbagetown-South St.James Town (71),43.6624222,-79.3767166,2375
