OBJECTID,AREA_S_CD,Neighbourhood,Assault_2014,AutoTheft_2014,BreakandEnter_2014,Robbery_2014,TheftOver_2014,Homicide_2014,Total_2014,Assault_2015,AutoTheft_2015,BreakandEnter_2015,Robbery_2015,TheftOver_2015,Homicide_2015,Total_2015,Assault_2016,AutoTheft_2016,BreakandEnter_2016,Robbery_2016,TheftOver_2016,Homicide_2016,Total_2016,Assault_2017,AutoTheft_2017,BreakandEnter_2017,Robbery_2017,TheftOver_2017,Homicide_2017,Total_2017,Assault_AVG,AutoTheft_AVG,BreakandEnter_AVG,Robbery_AVG,TheftOver_AVG,Homicide_AVG,Total_AVG,Assault_ch,AutoTheft_ch,BreakandEnter_ch,Robbery_ch,TheftOver_ch,Homicide_ch,Total_ch,Population,Assault_Rate,AutoTheft_Rate,BreakandEnter_Rate,Robbery_Rate,TheftOver_Rate,Homicide_Rate,Total_Rate,Shape__Area,Shape__Length
52,078,Kensington-Chinatown (78),349,25,101,71,19,0,565,392,22,96,59,32,1,602,380,29,84,63,19,5,580,435,32,110,96,26,0,699,389,27,98,72,24,2,612,0.14,0.1,0.31,0.52,0.37,-100%,0.21,13415,2899.7390980246,201.267238166232,730.525531121879,536.712635109952,178.904211703317,14.9086843086098,4562.05739843459,1534635.30297852,5024.41854148545
53,015,Kingsway South (15),27,19,27,17,2,0,92,32,15,27,21,3,0,98,31,9,25,12,2,0,79,24,22,33,15,6,0,100,29,16,28,16,3,0,92,-0.23,1.44,0.32,0.25,2,N/A,0.27,5175,560.386473429952,309.178743961353,541.062801932367,309.178743961353,57.9710144927536,0,1777.77777777778,2638229.29174805,8062.39537547852
54,089,Runnymede-Bloor West Village (89),43,19,30,14,1,0,107,54,13,27,30,1,0,125,43,10,23,16,2,0,94,45,22,22,16,2,0,107,46,16,26,19,2,0,108,0.05,1.2,-0.04,0,0,N/A,0.14,17358,265.00748934209,92.1765180320313,149.786841802051,109.459615163037,11.5220647540039,0,622.191496716212,1593977.97705078,6748.07018555398
55,101,Forest Hill South (101),19,5,40,0,5,0,69,16,11,22,1,5,0,55,10,9,20,2,4,0,45,25,10,63,2,4,0,104,18,9,36,1,5,0,68,1.5,0.11,2.15,0,0,N/A,1.31,12437,144.729436359251,72.3647181796253,289.458872718501,8.04052424218059,40.2026212109029,0,546.75564846828,2479956.24291992,7188.43934301976
56,053,Henry Farm (53),46,12,34,1,2,0,95,46,10,23,3,3,1,86,58,8,12,1,1,0,80,58,13,25,11,9,1,117,52,11,24,4,4,1,95,0,0.63,1.08,10,8,N/A,0.46,9477,548.696844993141,116.070486440857,253.244697689142,42.207449614857,42.207449614857,10.5518624037143,1002.42692835285,2593261.59057617,8150.89102066787
57,095,Annex (95),272,19,182,56,30,0,559,321,14,128,62,28,0,553,325,21,141,62,27,0,576,309,27,142,80,37,0,595,307,20,148,65,31,0,571,-0.05,0.29,0.01,0.29,0.37,N/A,0.03,23107,1328.60172242178,86.5538581382265,640.498550222876,281.300038949236,134.158480114251,0,2471.11264984637,2790349.66088867,7606.07804747274
58,109,Caledonia-Fairbank (109),33,8,23,8,3,0,75,42,4,9,6,1,0,62,38,9,9,8,1,0,65,50,7,8,2,1,0,68,41,7,12,6,2,0,68,0.32,-0.22,-0.11,-0.75,0,N/A,0.05,15517,264.226332409615,45.1118128504221,77.3345363150093,38.6672681575047,12.8890893858349,0,438.229039118386,1544449.90820313,4951.23718190239
59,008,Humber Heights-Westmount (8),29,29,19,13,1,1,92,40,28,27,10,4,0,109,38,22,26,13,4,1,104,42,30,33,5,7,1,118,37,27,26,10,4,1,106,0.11,0.36,0.27,-0.62,0.75,0%,0.13,14169,261.133460371233,190.556849460089,183.499188368975,70.576610911144,28.2306443644576,7.0576610911144,748.112075658127,2802762.43261719,9088.1724298682
60,086,Roncesvalles (86),143,18,57,23,3,0,244,171,9,46,33,5,0,264,185,14,53,40,3,0,295,177,21,56,31,12,0,297,169,16,53,32,6,0,275,-0.04,0.5,0.06,-0.23,3,N/A,0.01,11358,1487.93801725656,140.869871456242,466.631449198803,281.739742912485,52.8262017960909,0,2421.20091565416,1504531.70922852,6163.79397889904
61,079,University (79),144,10,66,52,5,0,277,130,11,61,19,8,0,229,157,16,45,32,6,0,256,170,9,57,23,4,1,264,150,12,57,32,6,0,257,0.08,-0.44,0.27,-0.28,-0.33,N/A,0.03,10047,1492.98297999403,119.438638399522,567.333532397731,318.503035732059,59.7193191997611,0,2557.9775057231,1405246.46728516,4971.8128991386
62,048,Hillcrest Village (48),69,21,32,20,4,0,146,56,11,47,7,4,0,125,47,24,30,11,2,0,114,58,19,33,24,4,0,138,58,19,36,16,4,0,131,0.23,-0.21,0.1,1.18,1,N/A,0.21,15042,385.58702300226,126.312990293844,239.329876346231,106.368833931658,26.5922084829145,0,870.89482781545,5395673.32250977,9570.92000747654
63,115,Mount Dennis (115),101,28,18,31,2,1,181,103,16,25,13,1,0,158,111,20,34,39,0,0,204,103,16,20,36,5,0,180,105,20,24,30,2,0,181,-0.07,-0.2,-0.41,-0.08,,N/A,-0.12,8325,1261.26126126126,240.24024024024,288.288288288288,360.36036036036,24.024024024024,0,2174.17417417417,2129400.09350586,6852.23512374802
64,126,Dorset Park (126),130,50,91,30,5,0,306,160,38,88,37,9,0,332,195,40,70,55,10,0,370,195,39,86,35,4,1,360,170,42,84,39,7,0,342,0,-0.03,0.23,-0.36,-0.6,N/A,-0.03,22616,751.680226388398,185.709232401839,371.418464803679,172.444287230279,30.9515387336399,0,1512.20374955784,6012257.78686523,10567.0023443484
65,009,Edenbridge-Humber Valley (9),25,23,46,7,4,0,105,20,25,35,5,4,0,89,25,24,47,3,2,0,101,24,14,41,4,4,0,87,24,22,42,5,4,0,96,-0.04,-0.42,-0.13,0.33,1,N/A,-0.14,11593,207.021478478392,189.769688605193,362.287587337186,43.1294746829984,34.5035797463987,0,828.085913913569,5511730.19238281,11180.5213794732
66,093,Dovercourt-Wallace Emerson-Junction (93),256,32,84,67,12,2,453,248,33,84,56,8,3,432,283,32,97,53,11,0,476,292,34,92,73,10,2,503,270,33,89,62,10,2,466,0.03,0.06,-0.05,0.38,-0.09,N/A,0.06,25772,1047.64861089555,128.045941331678,345.336023591495,240.57116250194,38.8018004035387,7.76036008070774,1808.1638988049,3725898.50708008,9225.63238546649
